searchName;relationNumber;nameLine1;nameLine2;nameLine3;addressLine1;addressLine2;addressLine3;postalCode;city;countryCode;subentityCode;postOfficeBox;postOfficeBoxPostalcode;postOfficeBoxCity;postOfficeBoxCountry;telephoneNumber;telefaxNumber;emailAddress;internetAddress;contactPerson;typeOfRelation;currencyCode;vatCode;languageCode;relationGroup;paymentTerm;creditLimit;vatNumberOrg;vatNumber
NOADVOKATFIOSLO0093;10037156394;Advokatfirmaet Bahr As;-;;Postboks 1524 Vika  ;;;0117;Oslo;NO;;;;;;;;;;;1;;0;;1;;;919513063;NO919513063
NOARDOQASOSLO0001;10037175147;Ardoq As;-;;Gaustadalléen 21 ;;;0349;Oslo;NO;;;;;;;;;;;1;;0;;1;;;912017818;NO912017818
NOAHCLASSICALESU0001;10037179875;Ah Classic Cars AS;-;;Gullatoppen 8 ;;;6020;ÅLESUND;NO;;;;;;;;;;;1;;0;;1;;;919591455;NO919591455
NOANDERSENESANDE0001;10037195582;Andersen Elektro Kompetanse Frode A;-;;Sjuveengåsen 7 ;;;3218;Sandefjord;NO;;;;;;;;;;;1;;0;;1;;;988264180;NO988264180
NOAUSTEVOLLBEKKJ0005;10037214383;Austevoll Multi Service As;-;;Grunnavågen 15 ;;;5397;Bekkjarvik;NO;;;;;;;;;;;1;;0;;1;;;819358362;NO819358362
NO365DESIGNKRAKE0001;10037218707;365 Design Ved Jannike Bergmann;-;;Buskogen 13 ;;;1675;Kråkerøy;NO;;;;;;;;;;;1;;0;;1;;;986017151;NO986017151
NOASKEROGBABILLI0001;10037264800;Asker Og Bærum Brønnboring As;-;;Bjørklundsveien 19 ;;;1396;Billingstad;NO;;;;;;;;;;;1;;0;;1;;;997924630;NO997924630
NOADVOKATFITROND0010;10037269510;Advokatfirmaet Kuvås Og Bondahl As;-;;Postboks 973 Sentrum  ;;;7410;Trondheim;NO;;;;;;;;;;;1;;0;;1;;;820212002;NO820212002
NOADVOKATFITROMS0007;10037275921;Advokatfirmaet Haagensen & Bakkelun;Avd Kirkenes;;Postboks 72  ;;;9251;Tromsø;NO;;;;;;;;;;;1;;0;;1;;;815260422;NO815260422
NOADVOKATFILARVI0001;10037280046;Advokatfirmaet Hesselberg As;-;;Postboks 286;;;3251;LARVIK;NO;;;;;;;;;;;1;;0;;1;;;919668938;NO919668938
NOARAFORSIKKOLBO0001;10037326435;Ara Forsikring As;Avd Trollåsen;;Postboks 1047 Sentrum  ;;;1418;Kolbotn;NO;;;;;;;;;;;1;;0;;1;;;917781249;NO917781249
NOADVOKATFIOSLO0094;10037336335;Advokatfirmaet Hansson As;-;;Inkognitogata 33 A;;;0256;OSLO;NO;;;;;;;;;;;1;;0;;1;;;820234782;NO820234782
